Date,Vendeur,Région,Produit,Catégorie,Montant,Objectif,Atteint ?
2024-01-05,Alice,Île-de-France,Laptop Pro,Informatique,4800,4000,
2024-01-07,Karim,PACA,Smartphone X,Mobile,3250,3000,
2024-01-10,Lucie,Grand Est,Tablette Air,Informatique,900,1500,
2024-01-12,Thomas,Île-de-France,Écouteurs BT,Audio,1200,1000,
2024-01-15,Nadia,PACA,Laptop Pro,Informatique,2400,4000,
2024-01-18,Alice,Grand Est,Montre Smart,Wearable,1120,1000,
2024-01-20,Karim,Île-de-France,Smartphone X,Mobile,5200,3000,
2024-02-02,Alice,Auvergne,Smartphone X,Mobile,3900,3000,
2024-02-05,Karim,Île-de-France,Montre Smart,Wearable,1960,1500,
2024-02-08,Lucie,Île-de-France,Laptop Pro,Informatique,6000,4000,
2024-02-13,Nadia,Auvergne,Écouteurs BT,Audio,1440,1000,
2024-02-15,Alice,Grand Est,Smartphone X,Mobile,5850,3000,
2024-02-20,Lucie,Grand Est,Laptop Pro,Informatique,2400,4000,
2024-03-01,Alice,Auvergne,Laptop Pro,Informatique,3600,4000,
2024-03-04,Karim,Île-de-France,Smartphone X,Mobile,7150,3000,
2024-03-07,Lucie,Grand Est,Montre Smart,Wearable,1400,1500,
2024-03-12,Nadia,Île-de-France,Écouteurs BT,Audio,2160,1000,
2024-03-15,Alice,PACA,Laptop Pro,Informatique,7200,4000,
2024-03-18,Karim,Grand Est,Smartphone X,Mobile,2600,3000,
2024-03-28,Alice,Île-de-France,Laptop Pro,Informatique,4800,4000,
2024-04-02,Karim,PACA,Smartphone X,Mobile,4550,3000,
2024-04-05,Lucie,Auvergne,Montre Smart,Wearable,1680,1500,
2024-04-10,Nadia,Île-de-France,Tablette Air,Informatique,1800,2000,
2024-04-15,Karim,Île-de-France,Smartphone X,Mobile,6500,3000,
2024-04-18,Lucie,Auvergne,Laptop Pro,Informatique,6000,4000,
2024-05-01,Alice,Île-de-France,Écouteurs BT,Audio,2640,1000,
2024-05-04,Karim,PACA,Laptop Pro,Informatique,8400,4000,
2024-05-07,Lucie,Auvergne,Smartphone X,Mobile,3250,3000,
2024-05-12,Nadia,Île-de-France,Montre Smart,Wearable,2520,1500,
2024-05-15,Alice,Île-de-France,Laptop Pro,Informatique,9600,4000,
